epoch,phase,train_loss,train_acc,val_loss,val_acc
1,1,1.4402,0.4998,2.6132,0.3114
2,1,1.4119,0.4906,2.5413,0.3177
3,1,1.2708,0.5093,2.2043,0.3485
4,1,1.2942,0.5026,2.3704,0.3268
5,1,1.1755,0.5157,2.2323,0.3317
6,1,1.1717,0.5098,1.9396,0.3716
7,1,1.1783,0.5121,2.0403,0.3436
8,1,1.1275,0.5205,1.8714,0.3758
9,1,1.1214,0.5231,1.7271,0.4038
10,1,1.1102,0.5238,1.9427,0.3611
11,2,0.8826,0.5687,1.2444,0.5038
12,2,0.7076,0.6243,1.0900,0.5514
13,2,0.5891,0.6661,0.9534,0.6053
14,2,0.5310,0.7002,0.8613,0.6193
15,2,0.4737,0.7177,0.7330,0.6704
16,2,0.4102,0.7508,0.7353,0.6585
17,2,0.3970,0.7622,0.6443,0.6977
18,2,0.3444,0.7926,0.5758,0.7404
19,2,0.3259,0.8026,0.5917,0.7222
20,2,0.3130,0.8120,0.5957,0.7320
